1. Do you agree that the information you provided in this survey is used for academic research?,2. Do you currently face a problem of hair loss? ,3. What's your age? (Please enter a number only),4. How many hours do you sleep every day? (Please enter a number only),5. How often do you dye or perm your hair?,6. What kinds of food do you often eat? Select all that apply,7. How often do you wash your hair?,8. What is the price of your shampoo in Canadian dollar? (Please enter a number only),9. To find out the potential relationship between hair loss and weight loss methods. Could you please tell me how do you lose weight?
"Yes, I agree.",Yes.,20,8,Less than 2 weeks,Spicy food,2 to 3 days,13,no
"Yes, I agree.",No.,22,6,Never,"Spicy food, Sweet food",2 to 3 days,25,eat less
"Yes, I agree.",No.,19,6,More than 8 weeks,"Fried food, Spicy food, Sweet food, Light food, Sour food",4 to 5 days,30,no
"Yes, I agree.",Yes.,20,6,More than 8 weeks,"Fried food, Salty food, Sour food",2 to 3 days,50,Lack of sleep and tiredness of study. Eating lots of unhealthy food.
"Yes, I agree.",Yes.,20,7,Never,"Fried food, Sweet food, Salty food, Sour food",2 to 3 days,20,no
"Yes, I agree.",Yes.,20,8,More than 8 weeks,"Fried food, Spicy food, Sweet food, Light food, Salty food, Sour food",2 to 3 days,16,No
"Yes, I agree.",Yes.,21,6,More than 8 weeks,"Fried food, Spicy food, Sweet food",Everyday,15,No
"Yes, I agree.",Yes.,21,8,Less than 2 weeks,Spicy food,4 to 5 days,20,no
"Yes, I agree.",Yes.,20,8,More than 8 weeks,Light food,2 to 3 days,20,Run
"Yes, I agree.",Yes.,20,9,More than 8 weeks,"Fried food, Sweet food, Light food",Everyday,25,"eat less, more physical training "
"Yes, I agree.",No.,20,7,More than 8 weeks,"Spicy food, Light food",2 to 3 days,20,No
"Yes, I agree.",Yes.,22,7,Never,"Fried food, Sweet food, Salty food",2 to 3 days,16,no
"Yes, I agree.",Yes.,22,9,Never,"Sweet food, Light food, Salty food",2 to 3 days,10,"I don't often lose weight deliberately, but if I did, I consume less food"
"Yes, I agree.",Yes.,22,7,Less than 2 weeks,"Fried food, Spicy food",Everyday,42,no
"Yes, I agree.",Yes.,20,10,Never,"Fried food, Sweet food",2 to 3 days,30,exercise
"Yes, I agree.",Yes.,21,12,Every 3 to 4 weeks,Fried food,6 to 7 days,5,no
"Yes, I agree.",Yes.,21,8,More than 8 weeks,"Fried food, Spicy food, Salty food",2 to 3 days,30,Gym
"No, I disagree.",No.,20,9,Never,Salty food,6 to 7 days,22,No，because I am not worried about my weight
"Yes, I agree.",Yes.,20,6,More than 8 weeks,Salty food,2 to 3 days,20,no
"Yes, I agree.",No.,20,9,More than 8 weeks,"Fried food, Spicy food, Sweet food, Light food",2 to 3 days,15,Eat healthy food
"Yes, I agree.",No.,20,7,Never,"Fried food, Spicy food, Sweet food, Salty food",2 to 3 days,36,"Eat less sugar, fat foods, choose more health foods and go to gym five to six times a week."
